word,polarity1,polarity2,polarity3
濕,0,0,-2
尚可,-1,-1,-2
無比,-1,-1,-2
短,0,-1,-2
時尚,1,1,1
頻繁,0,0,-2
開始,-1,-1,-2
不符,-1,-1,-2
舒暢,1,1,1
較少,1,1,-2
撲鼻,-1,-1,-2
有趣,-1,-1,1
不佳,-1,-1,-2
滑,1,1,-1
經濟,0,-1,1
備用,-1,-1,-2
甜美,1,1,1
飽,0,-1,-2
寬闊,1,1,-2
莫名其妙,-1,-1,-2
窄,-1,-1,-1
上當,-1,-1,-2
停電,-1,-1,-2
感冒,-1,-1,-2
嚴肅,0,-1,-1
小氣,-1,-1,-1
小心,-1,-1,1
喜歡,0,1,1
大失所望,-1,-1,-1
累,0,1,-2
黃,-1,-1,-2
漏水,0,-1,-2
大大,1,1,-2
狹窄,1,1,-2
準時,-1,-1,1
明白,-1,-1,1
關門,0,1,-2
自助,0,-1,-2
開通,-1,-1,1
清澈,1,1,1
滿,0,1,-1
要命,-1,-1,-2
很美,-2,-2,-2
那樣,0,-1,-2
國營,-1,-1,-2
無敵,1,1,-2
較大,-2,-2,-2
熟練,1,1,1
敬業,1,1,-2
不理,-1,-1,-2
丟人,-1,-1,-2
完整,-1,-1,1
好笑,-1,-1,1
骯髒,-1,-1,-1
太少,0,1,-2
隨便,-1,-1,-1
好玩,1,1,1
馬馬虎虎,0,-1,-1
入睡,-1,-1,-2
算了,-1,-1,-2
敏感,1,1,-2
輕鬆,-1,-1,1
冷清,-1,-1,-1
斑斑,-1,-1,-2
過得去,0,-1,-2
進步,0,0,1
中式,1,1,-2
亂哄哄,-1,-1,-1
擁擠,0,0,-1
年輕,0,-1,-2
意外,1,1,-2
耐心,0,1,-2
積極,-1,-1,1
無語,-1,-1,-2
獨立,0,1,-2
舊了,-2,-2,-2
可氣,-2,-2,-2
熱心,1,1,1
煩,-1,-1,-1
鬧中取靜,1,1,-2
怎麼,-1,-1,-2
驕傲,1,1,-1
理直氣壯,-1,-1,1
真正,1,1,1
灰暗,-1,-1,-1
優惠,0,-1,1
生氣,-1,-1,-1
有禮,1,1,1
是,0,-1,1
正宗,0,-1,1
無所謂,-1,-1,-1
散,0,-1,-1
不堪,-1,-1,-2
可能,0,-1,1
壓抑,-1,-1,-2
不如,-1,-1,-2
推薦,0,-1,-2
製冷,-1,-1,-2
高速,0,-1,-2
尖,1,1,1
故障,-1,-1,-2
必要,-1,-1,1
悶,-1,-1,-1
窩心,1,1,-1
宜家,-1,-1,-2
太小,-2,-2,-2
一應俱全,1,1,-2
發黑,-1,-1,-2
訂,0,-1,-2
定,0,-1,1
低級,-1,-1,-1
體貼,1,1,-2
遠遠,-1,-1,-2
死,-1,-1,-1
總,0,-1,-2
般,-2,-2,-2
剝落,-1,-1,-2
面無表情,-1,-1,-1
明確,-1,-1,1
掉,-1,-1,-2
固定,-1,-1,1
確實,1,1,1
不夠,-2,-2,-2
將就,-1,-1,-2
有些舊,-2,-2,-2
不周,-1,-1,-1
瀰漫,-1,-1,-2
漏,0,1,-2
驚訝,1,1,-1
華美,-2,-2,1
沒有用,-1,-1,-2
全,-1,-1,1
正規,-1,-1,-2
不到,-2,-2,-2
很小,-2,-2,-2
睡著,-1,-1,-2
舊舊,-1,-1,-2
懶,-1,-1,-1
怎麼辦,-1,-1,-2
清,-1,-1,1
太晚,-1,-1,-2
愣,-1,-1,-1
相應,0,-1,-2
中規中矩,1,1,-2
剛好,0,1,1
有味,-2,-2,1
平安,-1,-1,1
沒得說,1,1,-2
漫長,-1,-1,-2
不清,-1,-1,-2
值錢,-1,-1,1
暖和,1,1,-2
不高,-2,-2,-2
難看,1,1,-1
流暢,1,1,1
不住,-2,-2,-2
很髒,-2,-2,-2
價廉物美,1,1,-2
主要,0,1,1
變態,-1,-1,-1
愚蠢,-1,-1,-1
有理,-1,-1,1
虛假,-1,-1,-1
寫意,1,1,1
正確,-1,-1,1
關鍵,-1,-1,1
同行,-1,-1,-2
樸實,1,1,1
浪費,0,-1,-2
少見,-1,-1,-2
暗,-1,-1,-1
合算,1,1,-2
遺漏,0,-1,-2
如意,0,-1,1
荒涼,1,1,-1
無話可說,-1,-1,-2
和藹,1,1,1
合格,0,-1,1
要好,0,1,-2
酸,1,1,-1
遠大,1,1,1
老化,0,-1,-2
發燒,1,1,-2
兩樣,-1,-1,-2
說得過去,1,1,-2
遺憾,1,1,-1
公共,-1,-1,-2
一定,0,-1,1
空,-1,-1,-1
您好,0,-1,-2
徹底,-1,-1,-2
通,-1,-1,1
彬彬有禮,1,1,1
預定,-1,-1,-2
不見,-2,-2,-2
牛,-1,-1,-1
不盡,-1,-1,-1
欣慰,-1,-1,1
相當好,-2,-2,-2
純,1,1,1
一次性,-1,-1,-2
四通八達,1,1,-2
多多,0,-1,-2
不大,-2,-2,-2
好找,-2,-2,-2
連鎖,-1,-1,-2
暈倒,-1,-1,-2
簡潔,1,1,1
到位,1,1,-2
火,0,-1,-1
價廉,0,0,-2
完畢,-1,-1,-2
西式,1,1,-2
不成,-1,-1,-2
負責任,-1,-1,-2
最高,-2,-2,1
崩潰,-1,-1,-2
清淡,-1,-1,-1
明,-1,-1,1
繁多,-1,-1,-2
省錢,0,1,-2
溫和,1,1,1
可取,-1,-1,-2
重視,-1,-1,1
吹風,1,1,-2
亂糟糟,-1,-1,-1
忙碌,-1,-1,-2
像話,-2,-2,1
很近,-2,-2,-2
讚,0,1,-2
典雅,1,1,1
吃飽,-1,-1,-2
冷冷,-1,-1,-1
快速,-1,-1,-2
廣大,1,1,-2
慘不忍睹,-1,-1,-1
清靜,-1,-1,1
到底,-1,-1,-2
寒冷,-1,-1,-2
相稱,0,1,-2
印象深刻,-2,-2,-2
涼爽,1,1,-2
充分,1,1,-2
正式,0,1,-2
靜,1,1,1
盡力,1,1,-2
無禮,-1,-1,-1
沒錯,-2,-2,-2
大型,1,1,-2
負責,0,-1,1
不貴,-2,-2,-2
滿足,0,1,1
同等,-1,-1,-2
規範,0,0,1
稍差,-2,-2,-2
適時,1,1,-2
四星級,-1,-1,-2
灰濛濛,-1,-1,-1
廉價,-1,-1,1
沮喪,-1,-1,-1
結束,0,-1,-2
豈有此理,-1,-1,-1
高高,1,1,-2
偏小,-2,-2,-2
相反,-1,-1,-2
繁忙,1,1,-2
別緻,1,1,-2
物有所值,-2,-2,-2
寧靜,1,1,1
完好,-1,-1,1
蠻好,-2,-2,-2
奢侈,0,0,-1
全新,0,1,1
忍無可忍,-1,-1,-2
作罷,-1,-1,-2
貴的,-2,-2,-2
安逸,1,1,1
苛刻,1,1,-1
樸素,0,0,1
柔軟,1,1,-2
窄小,-1,-1,-2
過高,-2,-2,-2
清明,-1,-1,1
霸道,-1,-1,-1
太冷,-2,-2,-2
手動,-1,-1,-2
激烈,-1,-1,-2
乾燥,-1,-1,-1
核實,0,1,-2
久遠,-1,-1,-2
陰冷,-1,-1,-1
壞掉,0,-1,-2
沒關係,0,-1,-1
恍然大悟,-1,-1,-2
五星級,0,1,1
名不虛傳,1,1,1
物美價廉,1,1,-2
說不過去,0,-1,-1
熱騰騰,1,1,-2
三星級,-1,-1,-2
十分方便,-2,-2,-2
經濟型,-1,-1,-2
一問三不知,-1,-1,-2
寸土寸金,1,1,-2
nice,-2,-2,-2
訓練有素,1,1,1
陳舊不堪,-2,-2,-2
興高采烈,1,1,1
金碧輝煌,1,1,1
