word,polarity1,polarity2,polarity3,wpolarity
有种,-2,-2,1,1
突出,1,1,1,1
贵重,0,-1,1,-1
无烟,0,-1,-2,-1
真,-1,-1,1,-1
不良,-1,-1,-1,-1
地道,1,1,1,1
人性化,1,1,-2,1
倒霉,-1,-1,-2,-1
蓝,1,1,-2,1
很差,-2,-2,-2,0
唯一,0,1,-2,1
在一起,-1,-1,-2,-1
湿,0,0,-2,0
尚可,-1,-1,-2,-1
无比,-1,-1,-2,-1
短,0,-1,-2,-1
时尚,1,1,1,1
频繁,0,0,-2,0
开始,-1,-1,-2,-1
不符,-1,-1,-2,-1
舒畅,1,1,1,1
较少,1,1,-2,1
扑鼻,-1,-1,-2,-1
有趣,-1,-1,1,-1
不佳,-1,-1,-2,-1
滑,1,1,-1,1
经济,0,-1,1,-1
备用,-1,-1,-2,-1
甜美,1,1,1,1
饱,0,-1,-2,-1
宽阔,1,1,-2,1
莫名其妙,-1,-1,-2,-1
窄,-1,-1,-1,-1
上当,-1,-1,-2,-1
停电,-1,-1,-2,-1
感冒,-1,-1,-2,-1
严肃,0,-1,-1,-1
小气,-1,-1,-1,-1
小心,-1,-1,1,-1
喜欢,0,1,1,1
大失所望,-1,-1,-1,-1
累,0,1,-2,1
黄,-1,-1,-2,-1
漏水,0,-1,-2,-1
大大,1,1,-2,1
狭窄,1,1,-2,1
准时,-1,-1,1,-1
明白,-1,-1,1,-1
关门,0,1,-2,1
自助,0,-1,-2,-1
开通,-1,-1,1,-1
清澈,1,1,1,1
满,0,1,-1,1
要命,-1,-1,-2,-1
很美,-2,-2,-2,0
那样,0,-1,-2,-1
国营,-1,-1,-2,-1
无敌,1,1,-2,1
较大,-2,-2,-2,0
熟练,1,1,1,1
敬业,1,1,-2,1
不理,-1,-1,-2,-1
丢人,-1,-1,-2,-1
完整,-1,-1,1,-1
好笑,-1,-1,1,-1
肮脏,-1,-1,-1,-1
太少,0,1,-2,1
随便,-1,-1,-1,-1
好玩,1,1,1,1
马马虎虎,0,-1,-1,-1
入睡,-1,-1,-2,-1
算了,-1,-1,-2,-1
敏感,1,1,-2,1
轻松,-1,-1,1,-1
冷清,-1,-1,-1,-1
斑斑,-1,-1,-2,-1
过得去,0,-1,-2,-1
进步,0,0,1,1
中式,1,1,-2,1
